id,lot,occupied,isEnabled
75,fbfac,false,true
76,fbfac,false,true
77,fbfac,false,true
78,fbfac,false,true
79,fbfac,false,true
80,fbfac,false,true
81,fbfac,false,true
82,fbfac,false,true
83,fbfac,false,true
84,fbfac,false,true
85,fbfac,false,true
86,fbfac,false,true
87,fbfac,false,true
88,fbfac,false,true
89,fbfac,false,true
90,fbfac,false,true
91,fbfac,false,true
92,fbfac,false,true
93,fbfac,false,true
94,fbfac,false,true
95,fbfac,false,true
96,fbfac,false,true
97,fbfac,false,true
98,fbfac,false,true
99,fbfac,false,true
